"n","seed","K","ok","n_starts_ok","LL","n_par","AIC","BIC","min_class_share","hessian_ok","secs","usable","verdict","problems"
388,0,1,TRUE,1,-1665.6884968816,4,3339.37699376319,3364.00991343103,1,TRUE,0.958407878875732,TRUE,"ok",""
388,0,2,TRUE,8,-1552.53363496546,9,3123.06726993093,3178.49133918356,0.304659784249355,TRUE,697.695197105408,TRUE,"ok",""
388,0,3,TRUE,8,-1490.21578106284,14,3008.43156212569,3094.64678096312,0.183210947733897,TRUE,23.4161190986633,TRUE,"ok",""
250,1,1,TRUE,1,-1059.68443739137,4,2127.36887478274,2150.24361676354,1,TRUE,0.310240030288696,TRUE,"ok",""
250,1,2,TRUE,8,-974.300211450188,9,1966.60042290038,2018.06859235716,0.419526618693283,TRUE,11.1245720386505,TRUE,"ok",""
250,1,3,TRUE,8,-947.801880902124,14,1923.60376180425,2003.66535873703,0.142856949829645,TRUE,20.568473815918,TRUE,"ok",""
250,2,1,TRUE,1,-1094.12630089209,4,2196.25260178419,2219.12734376498,1,TRUE,0.692389011383057,TRUE,"ok",""
250,2,2,TRUE,8,-1005.44480244972,9,2028.88960489944,2080.35777435622,0.308455393075325,TRUE,14.7529590129852,TRUE,"ok",""
250,2,3,TRUE,8,-969.154855309741,14,1966.30971061948,2046.37130755226,0.23895496400118,TRUE,22.3964159488678,TRUE,"ok",""
250,3,1,TRUE,1,-1073.09111917138,4,2154.18223834276,2177.05698032355,1,TRUE,0.39990496635437,TRUE,"ok",""
250,3,2,TRUE,8,-1005.17517760304,9,2028.35035520608,2079.81852466287,0.242732571564635,TRUE,13.2868630886078,TRUE,"ok",""
250,3,3,TRUE,8,-955.914274954014,14,1939.82854990803,2019.89014684081,0.219247999273126,TRUE,17.5026669502258,TRUE,"ok",""
250,4,1,TRUE,1,-1030.15679579499,4,2068.31359158998,2091.18833357077,1,TRUE,0.268166780471802,TRUE,"ok",""
250,4,2,TRUE,8,-949.254257624511,9,1916.50851524902,1967.97668470581,0.277252813075155,TRUE,10.2400300502777,TRUE,"ok",""
250,4,3,TRUE,8,-901.369995343122,14,1830.73999068624,1910.80158761902,0.133219006119776,TRUE,25.2152988910675,TRUE,"ok",""
250,5,1,TRUE,1,-1030.78465537304,4,2069.56931074608,2092.44405272688,1,TRUE,0.901326894760132,TRUE,"ok",""
250,5,2,TRUE,8,-963.66763305505,9,1945.3352661101,1996.80343556689,0.487062072205705,TRUE,16.6988749504089,TRUE,"ok",""
250,5,3,TRUE,8,-916.196367594975,14,1860.39273518995,1940.45433212273,0.284537924138734,TRUE,26.8447980880737,TRUE,"ok",""
250,6,1,TRUE,1,-1071.06388518356,4,2150.12777036713,2173.00251234792,1,TRUE,0.36529803276062,TRUE,"ok",""
250,6,2,TRUE,8,-1017.48774885089,9,2052.97549770179,2104.44366715857,0.475559686264133,TRUE,17.6755139827728,TRUE,"ok",""
250,6,3,TRUE,8,-962.584996732977,14,1953.16999346595,2033.23159039873,0.187913428639745,TRUE,45.9193239212036,TRUE,"ok",""
250,7,1,TRUE,1,-1071.84418643312,4,2151.68837286623,2174.56311484703,1,TRUE,0.378264904022217,TRUE,"ok",""
250,7,2,TRUE,8,-1004.80165018579,9,2027.60330037158,2079.07146982836,0.46551842535934,TRUE,21.2837989330292,TRUE,"ok",""
250,7,3,TRUE,8,-963.735539595911,14,1955.47107919182,2035.5326761246,0.181217227977934,TRUE,25.5387699604034,TRUE,"ok",""
250,8,1,TRUE,1,-1073.76417153743,4,2155.52834307486,2178.40308505566,1,TRUE,0.462213039398193,TRUE,"ok",""
250,8,2,TRUE,8,-998.285648582151,9,2014.5712971643,2066.03946662109,0.44586581301109,TRUE,13.8856980800629,TRUE,"ok",""
250,8,3,TRUE,8,-955.181315007377,14,1938.36263001475,2018.42422694753,0.173104757717555,TRUE,22.1575379371643,TRUE,"ok",""
250,9,1,TRUE,1,-1099.0139691837,4,2206.0279383674,2228.90268034819,1,TRUE,0.397385835647583,TRUE,"ok",""
250,9,2,TRUE,8,-1042.58880156713,9,2103.17760313425,2154.64577259104,0.438792827394368,TRUE,11.2352330684662,TRUE,"ok",""
250,9,3,TRUE,8,-983.581772357538,14,1995.16354471508,2075.22514164786,0.271596789639501,TRUE,19.3120579719543,TRUE,"ok",""
250,10,1,TRUE,1,-1072.93835395177,4,2153.87670790353,2176.75144988432,1,TRUE,0.655257940292358,TRUE,"ok",""
250,10,2,TRUE,8,-984.993313663422,9,1987.98662732684,2039.45479678363,0.296094292306226,TRUE,19.5552179813385,TRUE,"ok",""
250,10,3,TRUE,8,-948.955984800311,14,1925.91196960062,2005.9735665334,0.277585641297866,TRUE,16.9332549571991,TRUE,"ok",""
250,11,1,TRUE,1,-1066.77158758652,4,2141.54317517303,2164.41791715383,1,TRUE,2.04235410690308,TRUE,"ok",""
250,11,2,TRUE,8,-1003.36239749161,9,2024.72479498323,2076.19296444002,0.470409100167863,TRUE,16.8700470924377,TRUE,"ok",""
250,11,3,TRUE,8,-961.210360302208,14,1950.42072060442,2030.48231753719,0.2158004477335,TRUE,26.4883069992065,TRUE,"ok",""
250,12,1,TRUE,1,-1072.37446701053,4,2152.74893402106,2175.62367600185,1,TRUE,0.720477819442749,TRUE,"ok",""
250,12,2,TRUE,8,-991.247731552269,9,2000.49546310454,2051.96363256132,0.475561149174911,TRUE,12.8711221218109,TRUE,"ok",""
250,12,3,TRUE,8,-954.306893559605,14,1936.61378711921,2016.67538405199,0.186753970365784,TRUE,29.8320219516754,TRUE,"ok",""
250,13,1,TRUE,1,-1075.42000046805,4,2158.8400009361,2181.7147429169,1,TRUE,0.553647994995117,TRUE,"ok",""
250,13,2,TRUE,8,-1009.9214541379,9,2037.8429082758,2089.31107773259,0.423533273258864,TRUE,20.2194151878357,TRUE,"ok",""
250,13,3,TRUE,8,-960.370101915552,14,1948.7402038311,2028.80180076388,0.238326463305494,TRUE,33.244549036026,TRUE,"ok",""
250,14,1,TRUE,1,-1083.39714442014,4,2174.79428884028,2197.66903082108,1,TRUE,0.41294002532959,TRUE,"ok",""
250,14,2,TRUE,8,-1003.10250677224,9,2024.20501354448,2075.67318300126,0.285759454658242,TRUE,17.3368358612061,TRUE,"ok",""
250,14,3,TRUE,8,-965.948092533033,14,1959.89618506607,2039.95778199884,0.198773452824817,TRUE,36.0996880531311,TRUE,"ok",""
250,15,1,TRUE,1,-1086.7158518505,4,2181.431703701,2204.3064456818,1,TRUE,0.446053981781006,TRUE,"ok",""
250,15,2,TRUE,8,-1000.95379577294,9,2019.90759154588,2071.37576100266,0.346294629384155,TRUE,16.3614618778229,TRUE,"ok",""
