"n","seed","K","parameter","estimate","se"
388,0,1,"b_tt_1",-0.0597705186229696,0.00425715102305226
388,0,1,"b_tc_1",-0.13181507039016,0.013505557695667
388,0,1,"b_hw_1",-0.0374507809295703,0.00184771638783697
388,0,1,"b_ch_1",-1.15206947571179,0.0434191827824656
388,0,2,"b_tt_1",-0.277801835306928,0.038503460319381
388,0,2,"b_tt_2",-0.0629513472369435,0.00553921797117817
388,0,2,"b_tc_1",-1.88959714452888,0.229241116809751
388,0,2,"b_tc_2",-0.0879874687586071,0.01409850635484
388,0,2,"b_hw_1",-0.0508248695730933,0.00766389235102219
388,0,2,"b_hw_2",-0.0432948507102258,0.00279991542362361
388,0,2,"b_ch_1",-2.47272726476837,0.262799380090344
388,0,2,"b_ch_2",-1.04631142388104,0.0642818432037062
388,0,2,"delta_1",0,NA
388,0,2,"delta_2",0.825205552315391,0.168559762124114
388,0,3,"b_tt_1",-0.34145637714859,0.0553417131759731
388,0,3,"b_tt_2",-0.227441148472162,0.0367799262220461
388,0,3,"b_tt_3",-0.0478925026916437,0.00586130125656042
388,0,3,"b_tc_1",-1.04272975333794,0.172276171189516
388,0,3,"b_tc_2",-1.83124679719618,0.256539593192292
388,0,3,"b_tc_3",-0.0522846355815922,0.0139261241455013
388,0,3,"b_hw_1",-0.0689865896941832,0.00840475196478195
388,0,3,"b_hw_2",-0.0468108338105321,0.0102206068232881
388,0,3,"b_hw_3",-0.0411245366201386,0.00345719536421034
388,0,3,"b_ch_1",-3.92991818612958,0.486193081377401
388,0,3,"b_ch_2",-1.72313553591424,0.281747874001372
388,0,3,"b_ch_3",-0.763504060275192,0.0830591670873077
388,0,3,"delta_1",0,NA
388,0,3,"delta_2",-0.672319151208643,0.243666487604627
388,0,3,"delta_3",0.243737296984051,0.204900905349355
250,1,1,"b_tt_1",-0.0627970654157571,0.00547352754211474
250,1,1,"b_tc_1",-0.130800650023064,0.017174243731197
250,1,1,"b_hw_1",-0.0400908186194902,0.0023600295751882
250,1,1,"b_ch_1",-1.1533293185499,0.0546603295301607
250,1,2,"b_tt_1",-0.197043768430904,0.0216030882027133
250,1,2,"b_tt_2",-0.0443102704305146,0.00717524239560169
250,1,2,"b_tc_1",-0.758356607014866,0.0789593319559088
250,1,2,"b_tc_2",-0.0551349594088375,0.0158143987958226
250,1,2,"b_hw_1",-0.0639884152519976,0.00676812401099515
250,1,2,"b_hw_2",-0.0342176220651166,0.00390019775523209
250,1,2,"b_ch_1",-2.70901324549889,0.218876559577321
250,1,2,"b_ch_2",-0.465411974453984,0.0925023882670551
250,1,2,"delta_1",0,NA
250,1,2,"delta_2",-0.324716968042723,0.195534003243092
250,1,3,"b_tt_1",-0.430335681604239,0.139150365966157
250,1,3,"b_tt_2",-0.178229145686173,0.00660639727384166
250,1,3,"b_tt_3",-0.030409673445873,0.0217071465501357
250,1,3,"b_tc_1",-0.631403380089485,0.220552448670545
250,1,3,"b_tc_2",-0.737812594511354,0.0161543937678489
250,1,3,"b_tc_3",-0.0464639185750175,0.0808001962976854
250,1,3,"b_hw_1",-0.0659430375289125,0.0172911018781536
250,1,3,"b_hw_2",-0.0683711306708215,0.00423046499189743
250,1,3,"b_hw_3",-0.0340982821579431,0.00797759514836423
250,1,3,"b_ch_1",-2.31909036085661,0.617215951324769
250,1,3,"b_ch_2",-2.7800920096683,0.103526343713516
250,1,3,"b_ch_3",-0.371862295847291,0.252344951380677
250,1,3,"delta_1",0,NA
250,1,3,"delta_2",1.29333432399103,0.354821508947378
250,1,3,"delta_3",0.856578857795096,0.352301166790978
250,2,1,"b_tt_1",-0.0606529708922233,0.0052850375864234
250,2,1,"b_tc_1",-0.140911146185761,0.0172058944936427
250,2,1,"b_hw_1",-0.0340762761722484,0.00220416314008214
250,2,1,"b_ch_1",-1.11925874817619,0.0534305442215204
250,2,2,"b_tt_1",-0.299472307274091,0.0066300040150077
250,2,2,"b_tt_2",-0.0621370077710006,0.0516426504773648
250,2,2,"b_tc_1",-2.13374320841733,0.0173265604494755
250,2,2,"b_tc_2",-0.0915837060940562,0.305049013176944
250,2,2,"b_hw_1",-0.0492075566132105,0.00339054834094986
250,2,2,"b_hw_2",-0.0404924122567539,0.00985885282472516
250,2,2,"b_ch_1",-2.68476321025944,0.0754171761858325
250,2,2,"b_ch_2",-1.01534479141187,0.35217699393703
250,2,2,"delta_1",0,NA
